Encounter,Episode,Total Length,Start Time,End Time,Rounds,In-game Time,,Notes
Mage Hunter Golem (Tower),C2E081,0:43:45,0:26:47,1:10:32,4,0:00:24,,
Mage Hunter Golem (Arcane Armory),C2E081,0:55:51,1:30:18,2:26:09,5,0:00:30,,
Halas Flesh Golem,C2E082,0:56:15,0:11:32,1:07:47,6,0:00:36,,
Permaheart,C2E082,1:19:15,2:14:50,3:34:05,7,0:00:42,,
Caedogeist,C2E085,1:11:58,0:11:11,1:23:09,5,0:00:30,,
The Cathedral (Chantry of the Dawn),C2E086,2:00:35,0:45:57,2:46:32,4,0:00:24,,
The Fane Below (Chantry of the Dawn),C2E086,0:46:40,4:12:18,4:58:58,3,0:00:18,,
Obann the Punished,C2E087,1:09:13,0:11:20,1:20:33,4,0:00:24,,
Stone Coffin 1 - Beau,C2E089,0:13:07,3:11:08,3:24:15,3,0:00:18,,
Stone Coffin 2 - Fjord,C2E089,0:13:07,3:29:50,3:42:57,3,0:00:18,,
Stone Coffin 3 - Yasha,C2E089,0:23:12,3:47:28,4:10:40,10,0:01:00,,
Gorefeather Harpies,C2E093,0:33:03,1:06:32,1:39:35,2,0:00:12,,
Poison Husks,C2E094,0:57:11,0:28:00,1:25:11,3,0:00:18,,
Bladerakes,C2E095,0:59:15,2:16:34,3:15:49,4,0:00:24,,
Gorgon,C2E096,1:17:18,0:10:22,1:27:40,5,0:00:30,,
"Deep Scion Warlocks, Sea Spawn (Inkclaw Reef)",C2E098,2:04:08,3:00:52,5:05:00,6,0:00:36,,
Dragon Turtle,C2E100,0:41:34,0:23:54,1:05:28,5,0:00:30,,
"Bodak, Will-o-Wisps",C2E102,0:38:48,0:11:48,0:50:36,2,0:00:12,,
Lord Cirios and Ghosts,C2E104,0:38:31,2:07:38,2:46:09,2,0:00:12,,
Vokodo,C2E105,1:44:40,2:53:21,4:38:01,13,0:01:18,,
Fire Sea Snake,C2E106,0:06:29,0:39:31,0:46:00,3,0:00:18,,
Albino Tyrannosaurus Rex,C2E107,0:34:00,2:21:41,2:55:41,2,0:00:12,,
Avantika and Uk'otoa Strike Team p1,C2E112,,3:50:59,4:17:51,,,,Combined totals from both episodes
Avantika and Uk'otoa Strike Team p2,C2E113,2:22:33,0:11:40,2:07:21,5,0:00:30,,Combined totals from both episodes
Avantika (Chase Sequence),C2E113,0:45:16,2:31:53,3:17:09,10,0:01:00,,
Allowak Yetis (Eiselcross),C2E115,0:47:42,2:26:25,3:14:07,3,0:00:18,,
Ice Crystals,C2E116,0:59:44,1:21:14,2:20:58,2,0:00:12,,
Black Pudding,C2E116,0:39:06,2:47:17,3:26:23,11,0:01:06,,
Frost Worm,C2E117,0:45:50,3:15:16,4:01:06,5,0:00:30,,
Aeorian Abomination,C2E119,1:28:16,0:10:18,1:38:34,4,0:00:24,,
Centurion Automaton,C2E120,1:07:21,0:38:03,1:45:24,23,0:02:18,,
Gelidon (Ancient White Dragon),C2E123,1:38:10,0:49:10,2:27:20,5,0:00:30,,4 + surprise
The Tomb Takers,C2E123,1:46:46,3:36:23,5:23:09,5,0:00:30,,4 + surprise
Ninja Dobermans,C2E126,0:07:53,3:15:08,3:23:01,1,0:00:06,,
Vergesson Sanitorium Hallway Guards,C2E127,0:21:28,2:08:08,2:29:36,5,0:00:30,,
Vergesson Sanitorium Mage Guard,C2E127,0:10:42,2:32:42,2:43:24,2,0:00:12,,
Trent Ikithon (Vergesson Sanitorium),C2E128,0:08:23,0:11:29,0:19:52,1,0:00:06,,
Sanctum Flame Guardian,C2E129,0:57:48,1:19:40,2:17:28,4,0:00:24,,
Storm and Lightning Spirits,C2E131,0:46:40,0:15:03,1:01:43,4,0:00:24,,
Frost Giant Zombies,C2E132,0:42:09,0:53:32,1:35:41,2,0:00:12,,
Frost Salamanders,C2E133,0:43:18,0:10:23,0:53:41,2,0:00:12,,
Tomb Takers Ambush,C2E133,0:13:15,3:59:04,4:12:19,1,0:00:06,,
Aeorian Reverser and Absorbers,C2E134,1:01:51,2:43:33,3:45:24,3,0:00:18,,
"Aeorian Nullifier, Canoloth",C2E135,0:39:26,2:58:51,3:38:17,2,0:00:12,,
Legendary Water Elemental Planar Guardian,C2E136,0:50:13,2:42:40,3:32:53,3,0:00:18,,
Cognouza Flesh Horros,C2E137,0:40:40,1:45:06,2:25:46,2,0:00:12,,
"Cree, Vessel of the Pattern",C2E138,0:58:08,0:14:10,1:12:18,3,0:00:18,,
"Lucien, Neo-Somnovem ",C2E139,2:15:51,1:04:10,3:41:11,5,0:00:30,0:21:10,
"Lucien, Cognouza Incarnate",C2E140,3:07:18,0:18:03,3:25:21,5,0:00:30,,
Trent Ikithon (The Blooming Grove),C2E141,1:26:57,1:55:16,3:22:13,4,0:00:24,,
