Encounter,Episode,Total Length,Start Time,End Time,Rounds,In-game Time,Encounters,,Notes
"Raishan, Wraiths",C1E083,2:16:25,0:35:52,2:52:17,4,0:00:24,2,,
Earthbreaker Groon,C1E085,0:56:15,0:12:39,1:08:54,18,0:01:48,1,,
Taryon Darrington,C1E086,0:18:32,1:29:05,2:05:49,3,0:00:18,1,0:18:12,surprise+2 rounds. Subtract 18:12 for mid break in Youtube video.
Sea Pirates,C1E087,1:06:30,0:46:39,1:53:09,4,0:00:24,1,,
Kraken,C1E088,2:54:52,2:24:49,5:19:41,11,0:01:06,1,,
Utugash's minions,C1E092,0:35:11,2:45:31,3:20:42,2,0:00:12,,,
Utugash,C1E093,1:51:40,0:11:09,2:02:49,4,0:00:24,,,
Prison Devils,C1E093,0:33:38,3:17:25,3:51:03,2,0:00:12,,,
Chain Golem + Hotis,C1E093,0:28:06,3:51:59,4:20:05,2,0:00:12,4,,
Gray Render,C1E094,0:30:47,3:25:02,3:55:49,5,0:00:30,1,,surprise+4 rounds
Trickfoot Curse,C1E096,0:44:04,3:36:06,4:20:10,3,0:00:18,1,,"2 with curse, 1 rounding up gnomes"
K'Ryyn,C1E097,0:09:03,2:58:07,3:07:10,1,0:00:06,1,,1 Surprise Round
Symphior+Ankhegs,C1E098,1:04:16,3:17:14,4:21:30,10,0:01:00,1,,1 Surprise + 2 Symphior + 7 Ankhegs
Lionel,C1E099,0:16:45,2:49:45,3:06:30,4,0:00:24,1,,1 surprise + 3 rounds
Skeletal Guard,C1E100,0:15:49,3:00:01,3:15:50,3,0:00:18,,,
Delilah Briarwood + Remnant ,C1E100,1:26:03,3:57:49,5:23:52,3,0:00:18,2,,
"Vecna, Delilah, Death Knight",C1E102,1:50:04,2:32:43,4:22:47,3,0:00:18,1,,
Remnants at Sprigg's Abode,C1E105,1:17:06,2:02:01,3:19:07,4,0:00:24,1,,1 Surprise round + 3 rounds
Magma Bulette,C1E107,0:33:31,2:23:36,2:57:07,2,0:00:12,,,
Smelting Guardians,C1E108,0:41:12,0:12:39,0:53:51,2,0:00:12,,,
Forge Guardian,C1E108,1:26:59,2:13:12,3:40:11,4,0:00:24,3,,
Titan Elementals,C1E110,0:55:38,0:38:04,1:33:42,4,0:00:24,,,1 Surprise round + 3 rounds
Zombie Trolls,C1E110,0:47:39,2:42:14,3:29:53,3,0:00:18,,,
Thomaran Dwarf Zombies,C1E111,0:07:18,1:40:47,1:48:05,1,0:00:06,,,
Remnant Excavators,C1E111,1:01:47,3:01:13,4:03:00,4,0:00:24,,,1 Surprise round + 3 rounds
Gloomstalkers,C1E113,0:15:59,0:52:51,1:08:50,4,0:00:24,,,
"Briarwoods, Bone Dragon, Gloomstalkers",C1E113,1:23:08,1:46:28,3:09:36,3,0:00:18,,,
"Vecna, Ascended",C1E114,4:48:43,0:21:33,5:28:28,8,0:00:48,,0:18:12,Subtract 18:12 for mid break in Youtube video.
